Question no,solution
68,c
69,b
70,b
71,a
72,d
73,a
74,b
75,c
76,c
77,d
78,c
79,a
80,b
81,b
82,b
83,d
84,d
85,b
86,d
87,c
88,a
89,d
90,b
91,d
92,d
93,d
94,b
95,b
96,a
97,a
98,c
99,a
100,b
101,d
102,b
103,a
104,d
105,d
106,d
107,a
108,c
109,c
110,a
111,c
112,a
113,c
114,a
115,b
116,c
117,c
118,c
119,b
120,d
121,a
122,b
123,b
124,a
125,d
126,d
127,c
128,a
129,c
130,a
131,a
132,a
133,b
134,d
135,c
136,a
137,a
138,a
139,b
140,b
141,b
142,b
143,d
144,a
145,a
146,c
147,b
148,a
149,b
150,a
151,b
152,d
153,c
154,b
155,c
156,c
157,c
158,d
159,c
160,c
161,b
162,d
163,b
164,c
165,c
166,a
167,b
168,a
169,a
170,b
171,c
172,b
173,c
174,d
175,b
176,b
177,d
178,c
179,a
180,d
181,d
182,d
183,c
