Question no,solution
64,c
65,a
66,d
67,c
68,b
69,c
70,a
71,b
72,d
73,c
74,d
75,c
76,d
77,c
78,c
79,b
80,a
81,b
82,b
83,c
84,b
85,b
86,a
87,b
88,b
89,d
90,a
91,a
92,d
93,a
94,d
95,a
96,a
97,b
98,a
99,c
100,a
101,c
102,d
103,a
104,a
105,c
106,d
107,b
108,c
109,a
110,d
111,d
112,d
113,a
114,a
115,a
116,c
117,b
118,c
119,c
120,c
121,d
122,c
123,c
124,b
125,b
126,c
127,c
128,d
129,c
130,a
131,d
132,a
133,d
134,a
135,a
136,c
137,d
138,b
139,a
140,a
141,c
142,d
143,d
144,a
145,b
146,b
147,c
148,a
149,b
150,d
151,a
152,a
153,a
154,c
155,b
156,d
157,d
158,d
159,a
160,d
161,c
162,a
163,b
164,c
165,a
166,d
167,d
168,a
169,a
170,b
171,c
172,d
173,a
174,d
175,d
176,b
177,b
178,c
179,c
180,c
181,b
182,a
183,d
184,d
185,d
186,c
187,b
188,c
189,a
190,b
191,c
192,a
193,a
194,d
195,d
196,c
197,d
198,b
199,d
200,a
201,a
202,a
203,d
204,c
205,d
206,b
207,c
208,c
209,d
210,c
211,a
212,a
213,b
214,d
215,c
216,a
217,b
218,b
219,e
220,d
221,c
222,d
223,c
224,c
225,b
226,b
227,c
228,b
229,a
230,b
231,c
232,a
233,d
234,c
235,a
236,a
237,a
238,b
239,a
240,b
241,b
242,a
243,a
244,d
245,a
246,a
247,c
248,c
249,b
250,d
251,c
252,b
253,d
254,e
255,d
256,c
257,d
258,c
259,b
260,d
261,a
262,c
263,c
264,c
265,c
266,b
267,d
268,d
269,c
270,b
271,c
272,a
273,c
274,d
275,b
276,c
