Question no,solution
31,b
32,b
33,b
34,d
35,b
36,d
37,a
38,c
39,d
40,c
41,a
42,d
43,a
44,b
45,b
46,d
47,a
48,b
49,b
50,d
51,d
52,c
53,a
54,b
55,b
56,b
57,a
58,a
59,d
60,c
61,d
62,d
63,a
64,a
65,a
66,c
67,b
68,d
69,a
70,c
71,a
72,a
73,c
74,c
75,b
76,a
77,b
78,d
79,c
80,a
81,d
82,d
83,a
84,c
85,d
86,c
87,d
88,d
89,a
90,c
91,b
92,d
93,d
94,c
95,b
96,c
97,d
98,d
99,d
100,d
101,b
102,b
103,b
104,d
105,c
106,c
107,c
108,d
109,a
110,c
111,d
112,c
113,d
114,d
115,c
116,c
117,a
118,b
119,c
120,a
121,c
122,a
123,c
124,c
125,c
126,a
127,a
128,b
129,c
130,a
131,b
132,b
133,d
134,d
135,c
136,a
137,c
138,a
139,b
140,b
141,a
142,a
143,c
144,d
145,b
146,a
147,c
148,b
149,c
150,a
151,a
152,c
153,a
154,a
155,c
156,a
157,d
158,b
159,b
160,d
161,d
162,c
163,b
164,b
165,a
166,c
167,c
168,d
169,a
170,a
171,c
172,b
173,d
174,c
175,d
176,a
177,a
178,a
179,a
180,b
181,d
182,c
183,c
184,a
