Question no,solution
22,a
23,d
24,c
25,d
26,d
27,b
28,b
29,c
30,b
31,d
32,a
33,d
34,d
35,a
36,c
37,c
38,c
39,c
40,c
41,a
42,c
43,d
44,a
45,a
46,d
47,c
48,c
49,a
50,a
51,d
52,b
53,a
54,c
55,d
56,c
57,b
58,c
59,d
60,a
61,a
62,b
63,b
64,b
65,b
66,a
67,a
68,d
69,c
70,d
71,c
72,a
73,b
74,c
75,d
76,a
77,b
78,a
79,c
80,b
81,a
82,d
83,b
84,a
85,b
86,a
87,c
88,a
89,a
90,a
91,d
92,c
93,a
94,b
95,b
96,a
97,b
98,b
99,c
100,a
101,a
102,a
103,b
104,a
105,a
106,a
107,a
108,a
109,b
110,a
111,a
112,d
113,b
114,d
115,b
116,d
117,c
118,c
119,a
120,c
121,b
122,b
123,a
124,d
125,c
126,a
127,d
128,b
129,d
130,a
131,a
132,d
133,c
134,d
135,b
136,b
137,c
138,c
139,b
140,b
141,d
142,c
143,b
144,c
145,a
146,d
147,d
148,b
149,d
150,b
151,d
152,a
153,d
154,b
155,d
156,b
157,d
