Question no,solution
23,d
24,a
25,d
26,c
27,b
28,d
29,b
30,a
31,d
32,b
33,d
34,d
35,b
36,d
37,b
38,c
39,d
40,d
41,a
42,a
43,a
44,d
45,a
46,a
47,b
48,c
49,a
50,c
51,d
52,a
53,d
54,b
55,c
56,c
57,a
58,d
59,b
60,a
61,a
62,c
63,c
64,d
65,b
66,d
67,a
68,b
69,b
70,b
71,b
72,b
73,b
74,a
75,a
76,c
77,c
78,a
79,b
80,b
81,c
82,d
83,a
84,d
85,a
86,d
87,b
88,a
89,c
90,d
91,b
92,a
93,b
94,a
95,a
96,b
97,d
98,b
99,a
100,a
101,b
102,a
103,c
104,a
105,b
106,c
107,d
108,d
109,b
110,d
111,b
112,d
113,b
114,a
115,c
116,b
117,b
118,c
119,d
120,a
121,a
122,b
123,a
124,c
125,b
126,c
127,c
128,b
129,d
130,a
131,b
132,b
133,a
134,a
135,c
136,a
137,b
138,b
139,c
140,d
141,c
142,b
143,c
144,d
145,a
146,b
147,c
148,b
149,a
150,d
151,a
152,a
153,a
154,a
155,d
156,a
157,a
158,b
159,a
160,d
161,d
162,c
163,d
164,c
165,a
166,b
167,a
168,d
169,b
170,a
171,a
172,a
173,a
174,a
175,a
176,d
177,c
178,c
179,c
180,d
181,d
182,d
183,a
184,a
185,a
186,d
187,b
188,d
189,d
190,d
191,b
192,c
193,c
